,brand_name,shoe_type,original_price,sale_price,shoe_weight
0,adidas Performance,"['RUNFALCON 2.0 TR ', ' Laufschuh Neutral ']","59,95",,310 
1,Mammut,"['HUECO  ', ' Hikingschuh ']","150,00",,unknown
2,Mammut,"['ALVRA ', ' Hikingschuh ']","160,00",,unknown
3,adidas Performance,"['ULTRABOOST 20 PRIMEBLUE PRIMEKNIT RUNNING SHOES ', ' Laufschuh Neutral ']","107,95","179,95",328 
4,Nike Performance,"['REVOLUTION 5 ', ' Laufschuh Neutral ']","54,95",,299 
5,Nike Performance,"['REVOLUTION 5 ', ' Laufschuh Neutral ']","49,90","55,00",304 
6,Nike Performance,"['LEGEND ESSENTIAL ', ' Trainings']","44,95","59,95",unknown
7,Nike Performance,"['REVOLUTION 5 ', ' Laufschuh Neutral ']","48,05","54,95",296 
8,New Balance,"['FRESH FOAM ARISHI ', ' Laufschuh Neutral ']","67,95","84,95",261 
9,Brütting,"['Trekkinghalbschuh ', ' black']","59,95","74,95",unknown
10,adidas Performance,"['ALPHATORSION BOOST SHOES ', ' Laufschuh Neutral ']","69,95","139,95",unknown
11,adidas Performance,"['TERREX SWIFT R2 MID GTX GORETEX HIKING SHOES ', ' Hikingschuh ']","159,95",,unknown
12,adidas Performance,"['RUNFALCON ', ' Laufschuh Neutral ']","49,95",,244 
13,Lowa,"['RENEGADE GTX MID ', ' Hikingschuh ']","193,99","199,99",unknown
14,ASICS,"['GT 2000 9 ', ' Laufschuh Stabilität ']","118,99","139,99",unknown
15,Kappa,"['SHAWS UNISEX ', ' Trainings']","29,95","39,95",unknown
16,Puma,"['STAR ', ' Laufschuh Neutral ']","47,95","69,95",unknown
17,Mammut,"['HUECO LOW MEN ', ' Alpin']","130,00",,unknown
18,Lowa,"['TAURUS II GTX MID ', ' Hikingschuh ']","129,95",,unknown
19,LICO,"['LICO ', ' Alpin']","49,95",,unknown
20,adidas Performance,"['SOLAR BOOST 19 ', ' Laufschuh Neutral ']","79,95","159,95",298 
21,Brütting,"['Trekkingboot ', ' black']","69,95",,unknown
22,Brütting,"['CHIMNEY ', ' Trekkingboot ']","55,73","79,95",unknown
23,adidas Performance,"['SAMBA LEATHER FOOTBALL SHOES INDOOR ', ' Sneaker low ']","49,99","74,99",unknown
24,Brütting,"['MOUNT SHASTA  ', ' Hikingschuh ']","74,95","79,95",unknown
25,Nike Sportswear,"['HERREN SNEAKER ""AIR MAX EXCEE"" ', ' Sneaker low ']","86,86","109,95",unknown
26,adidas Performance,"['RUNFALCON ', ' Laufschuh Neutral ']","49,95",,262 
27,adidas Performance,"['ULTRABOOST 20 PRIMEKNIT RUNNING SHOES ', ' Laufschuh Neutral ']","119,99","179,99",332 
28,adidas Performance,"['TERREX AGRAVIC GORE', 'TEX RUNNING ']","89,95",,370 
29,Jack Wolfskin,"['VOJO 3 TEXAPORE LOW ', ' Hikingschuh ']","81,96","99,95",unknown
30,adidas Performance,"['SUPERNOVA ', ' Laufschuh Neutral ']","59,95","99,95",unknown
31,Nike Sportswear,"['HERREN SNEAKER ""AIR MAX EXCEE"" ', ' Sneaker low ']","86,86",,unknown
32,ASICS,"['GT', '2000 8 ']","110,00","139,99",unknown
33,Kappa,"['SHAWS UNISEX ', ' Trainings']","27,95","39,95",unknown
34,adidas Performance,"['ADIZERO CLUB ', ' Multicourt Tennisschuh ']","69,95",,unknown
35,Kappa,"['LEEBROOK UNISEX ', ' Trainings']","25,95","39,95",unknown
36,Nike Performance,"['DOWNSHIFTER 10 ', ' Laufschuh Neutral ']","39,90","60,00",263 
37,adidas Performance,"['SOLAR BOOST 19 ', ' Laufschuh Neutral ']","79,95","159,95",290 
38,New Balance,"['680 V6 ', ' Laufschuh Neutral ']","67,50","90,00",unknown
39,Lowa,"['RENEGADE GTX MID ', ' Hikingschuh ']","180,00",,unknown
40,adidas Performance,"['RUNFALCON ', ' Laufschuh Neutral ']","37,45","49,95",269 
41,The North Face,"['M ACTIVIST MID FUTURELIGHT ', ' Hikingschuh ']","121,95","155,00",unknown
42,adidas Originals,"['Sneaker low ', ' mehrfarbig']","48,29","64,95",unknown
43,adidas Performance,"['SOLAR GLIDE BOOST RUNNING SHOES ', ' Laufschuh Neutral ']","97,95","139,95",394 
44,ASICS,"['GEL CUMULUS 22 ', ' Laufschuh Neutral ']","111,99","139,99",270 
45,adidas Performance,"['ADILETTE ', ' Badesandale ']","23,74","24,99",unknown
